label,source,anchor_text,meet_url,raw_url,raw_option_found,parser_format,parsed_rows,athlete_rows_inserted,relay_rows_inserted,status,note
2026 Girls Regional 1,IHSAA,"1. Portage 5 pm CT Tickets | Performance Lists | Results Sectional Host: Highland, Hobart, Chesterton, Kankakee Valley",https://in.milesplit.com/meets/734898/results,https://in.milesplit.com/meets/734898/results/1306984,1,formatted_api,275,227,48,ok,
2026 Girls Regional 2,IHSAA,"2. Goshen 6 pm ET Tickets | Performance Lists | Results Sectional Host: Mishawka, Bremen, Warsaw Community, East Noble",https://in.milesplit.com/meets/734897/results,https://in.milesplit.com/meets/734897/results/1306992,1,formatted_api,297,250,47,ok,
2026 Girls Regional 3,IHSAA,"3. Carroll (Fort Wayne) 6 pm ET Tickets | Performance Lists | Results Sectional Host: Fort Wayne Northrop, New Haven, Marion, Delta",https://in.milesplit.com/meets/734895/results,https://in.milesplit.com/meets/734895/results/1306978,1,formatted_api,275,229,46,ok,
2026 Girls Regional 4,IHSAA,"4. Lafayette Jefferson 6 pm ET Tickets | Performance Lists | Results Sectional Host: Kokomo, Harrison (West Lafayette), Lafayette Jefferson, Hamilton Southeastern",https://in.milesplit.com/meets/734894/results,https://in.milesplit.com/meets/734894/results/1306996,1,formatted_api,271,225,46,ok,
2026 Girls Regional 5,IHSAA,"5. Ben Davis 6 pm ET Tickets | Performance Lists | Results Sectional Host: Terre Haute North Vigo, Zionsville, Pike, Franklin Community",https://in.milesplit.com/meets/734893/results,https://in.milesplit.com/meets/734893/results/1306985,1,formatted_api,280,233,47,ok,
2026 Girls Regional 6,IHSAA,"6. Greenfield-Central 6 pm ET Tickets | Performance Lists | Results Sectional Host: Lawrence Central, Pendleton Heights, Greenfield-Central, Batesville",https://in.milesplit.com/meets/734892/results,https://in.milesplit.com/meets/734892/results/1307005,1,formatted_api,275,229,46,ok,
2026 Girls Regional 7,IHSAA,"7. Bloomington South 6 pm ET Tickets | Performance Lists | Results Sectional Host: Columbus North, Bloomington South, Seymour, Madison Consolidated",https://in.milesplit.com/meets/734891/results,https://in.milesplit.com/meets/734891/results/1306976,1,formatted_api,276,228,48,ok,
2026 Girls Regional 8,IHSAA,"8. Evansville Central 5:30 pm CT Tickets | Performance Lists | Results Sectional Host: Corydon Central, Perry Central, Princeton Community, Mt. Vernon",https://in.milesplit.com/meets/734888/results,https://in.milesplit.com/meets/734888/results/1306999,1,formatted_api,277,229,48,ok,
