label,source,anchor_text,meet_url,raw_url,raw_option_found,parser_format,parsed_rows,athlete_rows_inserted,relay_rows_inserted,status,note
2026 Boys Regional 1,IHSAA,"1. Valparaiso 5 pm CT Tickets | Performance Lists | Results Sectional Host: Munster, Crown Point, Portage, Kankakee Valley",https://in.milesplit.com/meets/734916/results,https://in.milesplit.com/meets/734916/results/1307315,1,formatted_api,272,225,47,ok,
2026 Boys Regional 2,IHSAA,"2. Warsaw Community 6 pm ET Tickets | Performance Lists | Results Sectional Host: Penn, Plymouth, Goshen, East Noble",https://in.milesplit.com/meets/734913/results,https://in.milesplit.com/meets/734913/results/1307309,1,formatted_api,540,250,46,ok,
2026 Boys Regional 3,IHSAA,"3. Carroll (Fort Wayne) 6 pm ET Tickets | Performance Lists | Results Sectional Host: Fort Wayne North Side, New Haven, Marion, Muncie Central",https://in.milesplit.com/meets/734911/results,https://in.milesplit.com/meets/734911/results/1307285,1,formatted_api,283,236,47,ok,
2026 Boys Regional 4,IHSAA,"4. Lafayette Jefferson 6 pm ET Tickets | Performance Lists | Results Sectional Host: Kokomo, West Lafayette, Lafayette Jefferson, Fishers",https://in.milesplit.com/meets/734910/results,https://in.milesplit.com/meets/734910/results/1307297,1,formatted_api,270,227,43,ok,
2026 Boys Regional 5,IHSAA,"5. Plainfield 6 pm ET Tickets | Performance Lists | Results Sectional Host: Terre Haute North Vigo, Plainfield, Southport, Whiteland Community",https://in.milesplit.com/meets/734907/results,https://in.milesplit.com/meets/734907/results/1307287,1,formatted_api,276,231,45,ok,
2026 Boys Regional 6,IHSAA,"6. Greenfield-Central 6 pm ET Tickets | Performance Lists | Results Sectional Host: Lawrence Central, Mt. Vernon (Fortville), Greenfield-Central, Connersville",https://in.milesplit.com/meets/734906/results,https://in.milesplit.com/meets/734906/results/1307295,1,formatted_api,263,216,47,ok,
2026 Boys Regional 7,IHSAA,"7. Bloomington South 6 pm ET Tickets | Performance Lists | Results Sectional Host: Columbus North, Bloomington South, Brownstown Central, Madison Consolidated",https://in.milesplit.com/meets/734904/results,https://in.milesplit.com/meets/734904/results/1307293,1,formatted_api,264,219,45,ok,
2026 Boys Regional 8,IHSAA,"8. Evansville Central 5:30 pm CT Tickets | Performance Lists | Results Sectional Host: Floyd Central, Jasper, Princeton Community, Evansville Central",https://in.milesplit.com/meets/734902/results,https://in.milesplit.com/meets/734902/results/1307308,1,formatted_api,266,219,47,ok,
